id,doi,title,publication_year,oa_status,is_oa_anywhere,any_repository_has_fulltext,cited_by_count
https://openalex.org/W4388216011,https://doi.org/10.1136/jnis-2023-020925,Comparison of balloon guide catheter versus non-balloon guide catheter for mechanical thrombectomy in patients with distal medium vessel occlusion,2023,green,TRUE,TRUE,25
https://openalex.org/W4390537410,https://doi.org/10.31254/jmr.2023.9606,Flattening the Truth Pyramid: Reconsidering the Evidence Hierarchy,2023,diamond,TRUE,FALSE,0
https://openalex.org/W37940030,https://doi.org/10.1016/j.fct.2023.114127,"Update to RIFM fragrance ingredient safety assessment, ethyl 3-phenylpropionate, CAS Registry Number 2021-28-5.",2023,closed,FALSE,FALSE,0
https://openalex.org/W4318567340,https://doi.org/10.1016/j.bbih.2023.100600,Exercise mobilizes diverse antigen specific T-cells and elevates neutralizing antibodies in humans with natural immunity to SARS CoV-2,2023,gold,TRUE,TRUE,11
https://openalex.org/W4360938132,https://doi.org/10.1093/mnras/stad827,3D radiative transfer modelling and virial analysis of starless cores in the B10 region of the Taurus molecular cloud,2023,bronze,TRUE,TRUE,11
https://openalex.org/W4385950921,https://doi.org/10.3847/1538-4357/acebe0,Detection of the Low-stellar-mass Host Galaxy of a z ∼ 6.25 Quasar with JWST,2023,gold,TRUE,TRUE,38
https://openalex.org/W4323261867,https://doi.org/10.1016/j.mtla.2023.101736,Atomistic characterization of impact bonding in cold spray deposition of copper,2023,closed,FALSE,FALSE,12
https://openalex.org/W4319916501,https://doi.org/10.1016/j.bpj.2022.11.1813,Probing spiroplasma's cytoskeletal motility mechanism through hydrodynamic modelling and experiment,2023,bronze,TRUE,FALSE,0
https://openalex.org/W4389274737,https://doi.org/10.1016/j.fct.2023.114280,"Update to RIFM fragrance ingredient safety assessment, formic acid, CAS Registry number 64-18-6",2023,closed,FALSE,FALSE,0
https://openalex.org/W4389110045,https://doi.org/10.1016/j.bbr.2023.114789,Sex differences in descending control of nociception (DCN) responses after chronic orofacial pain induction in rats and the contribution of kappa opioid receptors,2023,closed,FALSE,FALSE,11
https://openalex.org/W4386328018,https://doi.org/10.3847/1538-4357/aceb5c,Universal Upper End of the Stellar Initial Mass Function in the Young and Compact LEGUS Clusters,2023,gold,TRUE,TRUE,7
https://openalex.org/W4387183685,https://doi.org/10.1093/mnras/stad2960,No plateau observed in late-time near-infrared observations of the underluminous Type Ia supernova 2021qvv,2023,hybrid,TRUE,TRUE,4
https://openalex.org/W4385461387,https://doi.org/10.3847/1538-4357/acd53c,First Sample of Hα+[O iii]λ5007 Line Emitters at z &gt; 6 Through JWST/NIRCam Slitless Spectroscopy: Physical Properties and Line-luminosity Functions,2023,gold,TRUE,TRUE,85
https://openalex.org/W4387902417,https://doi.org/10.1073/pnas.2306932120,Downregulation of a transcription factor associated with resistance to Bt toxin Vip3Aa in the invasive fall armyworm,2023,green,TRUE,TRUE,41
https://openalex.org/W4380589954,https://doi.org/10.1093/mnras/stad1780,Constraining the LyC escape fraction from LEGUS star clusters with SIGNALS H <scp>ii</scp> region observations: a pilot study of NGC 628,2023,green,TRUE,TRUE,9
https://openalex.org/W4385719030,https://doi.org/10.2458/jcrae.5543,Art and visual intervention strategies to resist racism and racial stereotypes,2023,bronze,TRUE,FALSE,1
https://openalex.org/W4382721724,https://doi.org/10.3390/info14070367,Text to Causal Knowledge Graph: A Framework to Synthesize Knowledge from Unstructured Business Texts into Causal Graphs,2023,gold,TRUE,TRUE,11
https://openalex.org/W4389002270,https://doi.org/10.1016/j.fct.2023.114223,"RIFM fragrance ingredient safety assessment, 3-mercaptohexyl acetate, CAS Registry Number 136954-20-6",2023,closed,FALSE,FALSE,0
https://openalex.org/W4385690674,https://doi.org/10.1126/sciadv.ade9797,<i>Apolipoprotein-</i> ε <i>4</i> is associated with higher fecundity in a natural fertility population,2023,gold,TRUE,TRUE,36
https://openalex.org/W4388694420,https://doi.org/10.3847/1538-3881/acf9f9,Scaling K2. VII. Evidence For a High Occurrence Rate of Hot Sub-Neptunes at Intermediate Ages,2023,gold,TRUE,TRUE,22
https://openalex.org/W4384436159,https://doi.org/10.1016/j.langsci.2023.101563,"Accommodation, social attraction, and intergroup attitudes on social media: the effects of outgroup self-presentation and ingroup accommodation",2023,hybrid,TRUE,FALSE,9
https://openalex.org/W4380872083,https://doi.org/10.1002/jts.22939,Treatment of comorbid sleep disorders and posttraumatic stress disorder in U.S. active duty military personnel: A pilot randomized clinical trial,2023,green,TRUE,TRUE,33
https://openalex.org/W4380422576,https://doi.org/10.1177/08943184231169750,Middle-Range Theory of the Adapting Foster Family: Mathematical Modeling in Nursing Science,2023,bronze,TRUE,FALSE,1
https://openalex.org/W4386554139,https://doi.org/10.1513/annalsats.202303-245oc,A Pilot Randomized Clinical Trial of Pediatric Cystic Fibrosis Pulmonary Exacerbations Treatment Strategies,2023,closed,FALSE,FALSE,11
https://openalex.org/W4387004530,https://doi.org/10.1016/j.hrthm.2023.09.020,Nuances in conduction system pacing reporting: Value of prospective and adjudicated data,2023,closed,FALSE,FALSE,1
https://openalex.org/W4388485390,https://doi.org/10.1080/17565529.2023.2264255,Governing for a safe and just future with science-based targets: opportunities and limitations,2023,hybrid,TRUE,TRUE,9
https://openalex.org/W4378085413,https://doi.org/10.3847/1538-4365/acc173,Tuning the Legacy Survey of Space and Time (LSST) Observing Strategy for Solar System Science,2023,gold,TRUE,TRUE,78
https://openalex.org/W4387091684,https://doi.org/10.1126/sciadv.adh4973,A multifault earthquake threat for the Seattle metropolitan region revealed by mass tree mortality,2023,gold,TRUE,TRUE,24
https://openalex.org/W4377011946,https://doi.org/10.1001/jamaoncol.2023.0759,"<i>MGMT</i> Methylation Status in Grades 2 and 3 Gliomas Is Important, but Is It Prognostic?",2023,closed,FALSE,FALSE,1
https://openalex.org/W4389068305,https://doi.org/10.1016/j.fct.2023.114254,"RIFM fragrance ingredient safety assessment, allyl cyclohexaneacetate, CAS Registry Number 4728-82-9",2023,closed,FALSE,FALSE,0
https://openalex.org/W4313580493,https://doi.org/10.3847/1538-4357/aca46f,"CO Emission, Molecular Gas, and Metallicity in Main-sequence Star-forming Galaxies at z ∼ 2.3*",2023,gold,TRUE,TRUE,31
https://openalex.org/W4384460064,https://doi.org/10.1016/j.ajpe.2023.100575,Recommendations for Assessing the Quality of Clinical Faculty Members’ Journal Publications,2023,gold,TRUE,TRUE,2
https://openalex.org/W4390273304,https://doi.org/10.3390/cancers16010131,Current Landscape of Immune Checkpoint Inhibitors for Metastatic Urothelial Carcinoma: Is There a Role for Additional T-Cell Blockade?,2023,gold,TRUE,TRUE,7
https://openalex.org/W4388744213,https://doi.org/10.1186/s12862-023-02151-9,A phylogeny of the evening primrose family (Onagraceae) using a target enrichment approach with 303 nuclear loci,2023,gold,TRUE,TRUE,12
https://openalex.org/W4381549156,https://doi.org/10.3847/1538-4357/accb51,Parameterized Asymmetric Neutral Hydrogen Disk Integrated Spectrum Characterization (PANDISC). I. Introduction to a Physically Motivated H i Model,2023,gold,TRUE,TRUE,5
https://openalex.org/W4317569008,https://doi.org/10.1016/j.toxicon.2023.107032,Synthesized peptide analogs from Eumenes pomiformis (Hymenoptera: Eumenidae) venom reveals their antibiotic and pesticide activity potential,2023,closed,FALSE,FALSE,2
https://openalex.org/W4323305764,https://doi.org/10.1016/j.biosystemseng.2023.02.006,Real-time control of high-resolution micro-jet sprayer integrated with machine vision for precision weed control,2023,hybrid,TRUE,TRUE,53
https://openalex.org/W4385731816,https://doi.org/10.2351/7.0000907,Simple model for the laser powder interaction during direct metal deposition,2023,closed,FALSE,FALSE,2
https://openalex.org/W4388518244,https://doi.org/10.2105/ajph.2023.307484,Temporal Changes in Vaccine-Specific Willingness Across Race/Ethnicity Following Serious Adverse Event Reports,2023,green,TRUE,TRUE,0
https://openalex.org/W4361000553,https://doi.org/10.3847/2041-8213/acade4,CEERS Key Paper. I. An Early Look into the First 500 Myr of Galaxy Formation with JWST,2023,gold,TRUE,TRUE,518
https://openalex.org/W4377983772,https://doi.org/10.1093/mnras/stad1554,Fuelling the nuclear ring of NGC 1097,2023,bronze,TRUE,TRUE,27
https://openalex.org/W4318250455,https://doi.org/10.3847/2041-8213/acacfe,Dusty Starbursts Masquerading as Ultra-high Redshift Galaxies in JWST CEERS Observations,2023,gold,TRUE,TRUE,138
https://openalex.org/W4385220012,https://doi.org/10.1063/5.0158778,In-plane lattice thermal conductivity predictions of thin films within columnar grains,2023,green,TRUE,TRUE,2
https://openalex.org/W4383066723,https://doi.org/10.1140/epjc/s10052-023-11543-6,Search for supersymmetry in final states with missing transverse momentum and three or more b-jets in 139 fb$$^{-1}$$ of proton–proton collisions at $$\sqrt{s} = 13$$ TeV with the ATLAS detector,2023,diamond,TRUE,TRUE,25
https://openalex.org/W4317549147,https://doi.org/10.1038/s41598-023-28085-2,A high-throughput sequencing survey characterizing European foulbrood disease and Varroosis in honey bees,2023,gold,TRUE,TRUE,18
https://openalex.org/W4386020051,https://doi.org/10.1007/s00223-023-01123-x,Reductions in Motor Unit Firing are Associated with Clinically Meaningful Leg Extensor Weakness in Older Adults,2023,hybrid,TRUE,TRUE,17
https://openalex.org/W4318262978,https://doi.org/10.1021/acs.jpcc.2c08632,"Molecular Orientation of −PO<sub>3</sub>H<sub>2</sub> and −COOH Functionalized Dyes on TiO<sub>2</sub>, Al<sub>2</sub>O<sub>3</sub>, ZrO<sub>2</sub>, and ITO: A Comparative Study",2023,green,TRUE,TRUE,12
https://openalex.org/W4389124386,https://doi.org/10.1007/s00425-023-04285-y,A microscopic scenario on recovery mechanisms under waterlogging and submergence stress in rice,2023,closed,FALSE,FALSE,13
https://openalex.org/W4380577258,https://doi.org/10.1111/acem.14764,Emergency medicine physician workforce attrition differences by age and gender,2023,bronze,TRUE,TRUE,49
https://openalex.org/W4319015592,https://doi.org/10.3390/bioengineering10020188,Mild Paravalvular Leak May Pose an Increased Thrombogenic Risk in Transcatheter Aortic Valve Replacement (TAVR) Patients-Insights from Patient Specific In Vitro and In Silico Studies,2023,gold,TRUE,TRUE,21
https://openalex.org/W4376111076,https://doi.org/10.1126/scitranslmed.abq4490,Autologous neutralizing antibodies increase with early antiretroviral therapy and shape HIV rebound after treatment interruption,2023,green,TRUE,TRUE,29
