"partners","num_papers"
"University of Nebraska–Lincoln",20
"University of Oklahoma Health Sciences Center",20
"University of Rochester Medical Center",20
"VA Boston Healthcare System",20
"Children's Hospital of Philadelphia",19
"City University of New York",19
"City of Hope",19
"Henry Ford Health System",19
"Huntsman Cancer Institute",19
"Johnson Space Center",19
"Nationwide Children's Hospital",19
"Phoenix VA Health Care System",19
"Rush University Medical Center",19
"St. Joseph's Hospital and Medical Center",19
"The Ohio State University Wexner Medical Center",19
"University of Minnesota System",19
"University of Wisconsin–Milwaukee",19
"Analytical Mechanics Associates (United States)",18
"California State University, Long Beach",18
"Carnegie Mellon University",18
"Cleveland Clinic Lerner College of Medicine",18
"Florida International University",18
"Gemini North Observatory",18
"Indiana University",18
"Jacksonville College",18
"Joint Genome Institute",18
"Lamont-Doherty Earth Observatory",18
"Methodist Hospital",18
"SUNY Upstate Medical University",18
"The University of Texas Health Science Center",18
"University of Hawaii System",18
"Baylor Scott & White Health",17
"Cooperative Institute for Research in Environmental Sciences",17
"East Carolina University",17
"Lunar and Planetary Institute",17
"Moffitt Cancer Center",17
"Montana State University",17
"Tufts Medical Center",17
"University School",17
"University of Arkansas at Fayetteville",17
"University of Idaho",17
"University of Wisconsin System",17
"Agricultural Research Service",16
"Arizona Department of Health Services",16
"DAWN Center for Independent Living",16
"National Jewish Health",16
"Portland State University",16
"Seattle University",16
"Siena College",16
"Smithsonian Institution",16
"Temple University",16
"University of Missouri–Kansas City",16
"University of Nevada, Reno",16
"University of New Hampshire",16
"Argonne National Laboratory",15
"Carnegie Observatories",15
"Florida College",15
"Georgia State University",15
"Harvard University Press",15
"Indiana University Health",15
"Kaiser Permanente Center for Health Research",15
"Mitchell Institute",15
"National Center for Supercomputing Applications",15
"National Institute of Allergy and Infectious Diseases",15
"National Laboratory of the Rockies",15
"Northwell Health",15
"Rowan University",15
"Search for Extraterrestrial Intelligence",15
"The University of Texas Medical Branch at Galveston",15
"Thomas Jefferson University Hospital",15
"University of Alaska Fairbanks",15
"University of Massachusetts Boston",15
"Baylor University",14
"California University of Pennsylvania",14
"Carondelet Health",14
"Center for Innovation",14
"Dartmouth–Hitchcock Medical Center",14
"Desert Institute For Spine Care",14
"Illinois College",14
"Kaiser Permanente",14
"Laboratory for Atmospheric and Space Physics",14
"Lehigh University",14
"Michigan United",14
"Mississippi State University",14
"Nebraska Medical Center",14
"Sandia National Laboratories",14
"Seattle Children's Hospital",14
"Southwest Watershed Research Center",14
"The NSF AI Institute for Artificial Intelligence and Fundamental Interactions",14
"University of Massachusetts Chan Medical School",14
"University of North Texas",14
"Western University of Health Sciences",14
"Albany Medical Center Hospital",13
"Harbor–UCLA Medical Center",13
"Hospital of the University of Pennsylvania",13
"Idaho State University",13
"Jackson Memorial Hospital",13
"Johnson University",13
"Keck Hospital of USC",13
"Lurie Children's Hospital",13
"New York Medical College",13
"Pima County Health Department",13
"Roswell Park Comprehensive Cancer Center",13
"University of Alabama in Huntsville",13
"University of California, Merced",13
"University of Maryland, Baltimore County",13
"University of North Dakota",13
"University of San Diego",13
"Children's Healthcare of Atlanta",12
"Kitt Peak National Observatory",12
"NASA Exoplanet Science Institute",12
"National Aeronautics and Space Administration",12
"National Museum of Natural History",12
"Ohio University",12
"Philadelphia University",12
"Scripps Institution of Oceanography",12
"Space Science Institute",12
"St. Jude Children's Research Hospital",12
"The Graduate Center, CUNY",12
"Tucson Medical Center",12
"U.S. Arid Land Agricultural Research Center",12
"University of Florida Health",12
"University of Memphis",12
"University of Minnesota Medical Center",12
"Binghamton University",11
"Broad Institute",11
"Center for Cancer Research",11
"Colorado School of Mines",11
"Howard University",11
"Intermountain Medical Center",11
"Louisiana State University Health Sciences Center New Orleans",11
"Loyola University Chicago",11
"Marquette University",11
"Michael E. DeBakey VA Medical Center",11
"Northeast Ohio Medical University",11
"Optical Sciences (United States)",11
"Planetary Systems (United States)",11
"Sandia National Laboratories California",11
"Sylvester Comprehensive Cancer Center",11
"UCLA Medical Center",11
"University of Massachusetts Lowell",11
"University of Mississippi Medical Center",11
"University of Pittsburgh Medical Center",11
"University of South Florida St. Petersburg",11
"Western Michigan University",11
"Woodwell Climate Research Center",11
"Arizona Western College",10
"Boston College",10
"Children's National",10
"Clinical Research Institute",10
"Dignity Health",10
"Duke University Hospital",10
"Eureka Scientific",10
"Intermountain Healthcare",10
"Joint Institute for Laboratory Astrophysics",10
"Kent State University",10
"Merck & Co., Inc., Rahway, NJ, USA (United States)",10
"NewYork–Presbyterian Hospital",10
"Old Dominion University",10
"Presbyterian Hospital",10
"Rhode Island Hospital",10
"Scripps Research Institute",10
"University of Colorado Cancer Center",10
"Westchester Medical Center",10
"American Cancer Society",9
"California State University, Fresno",9
"Cambridge Health Alliance",9
"Caris Life Sciences (United States)",9
"Center for Discovery",9
"Center for Neurosciences",9
"Children's Hospital of Los Angeles",9
"Circadian (United States)",9
"Florida Museum of Natural History",9
"Healthwise",9
"Human Longevity (United States)",9
"Irvine University",9
"Jackson Laboratory",9
"Johns Hopkins Hospital",9
"Marshfield Clinic",9
"McLean Hospital",9
"Menlo School",9
"MetroHealth",9
"Milken Institute",9
"Mount Sinai Hospital",9
"National Center for Immunization and Respiratory Diseases",9
"National Institute of Standards and Technology",9
"National Oceanic and Atmospheric Administration",9
"New York Psychoanalytic Society and Institute",9
"Pima Community College",9
"Providence College",9
"Richard L. Roudebush VA Medical Center",9
"San Jose State University",9
"Texas Children's Hospital",9
"The Core Institute",9
"The Neurological Institute",9
"The University of Texas at El Paso",9
"Trinity Health",9
"Twin Cities Orthopedics",9
"U.S. National Science Foundation",9
"UPMC Hillman Cancer Center",9
"US Forest Service",9
"United States Fish and Wildlife Service",9
"University Hospitals Cleveland Medical Center",9
"University of Baltimore",9
"University of California Davis Medical Center",9
"University of Denver",9
"University of Nebraska at Omaha",9
"University of San Francisco",9
"University of Tulsa",9
"VA Greater Los Angeles Healthcare System",9
"VA San Diego Healthcare System",9
"Weatherford College",9
"A.T. Still University",8
"Arizona Department of Education",8
"Atrium Health Wake Forest Baptist",8
"Augusta University",8
"Bay Area Environmental Research Institute",8
"California State University, Fullerton",8
"Cardiovascular Institute of the South",8
"Chicago Department of Public Health",8
"Children's Center",8
"City Of Hope National Medical Center",8
"Colorado School of Public Health",8
"Denver Health Medical Center",8
"Desert Research Institute",8
"Film Independent",8
"Google (United States)",8
"Henry Ford Hospital",8
"Loma Linda University",8
"McCormick (United States)",8
"Memorial Hospital",8
"Mercy Medical Center",8
"Miami University",8
"Minneapolis VA Health Care System",8
"National Park Service",8
"National Solar Observatory",8
"Neurobehavioral Systems",8
"Neurosciences Institute",8
"New York City Fire Department",8
"New York Genome Center",8
"Northwestern Medicine",8
"Pfizer (United States)",8
"Plant (United States)",8
"Pulmonary and Critical Care Associates",8
"Quantitative BioSciences",8
"Rochester Institute of Technology",8
"Rocky Mountain Research (United States)",8
"Saint Louis University",8
"Sarah Cannon",8
"Society of Interventional Radiology",8
"South Dakota State University",8
"Swedish Medical Center",8
"Texas State University",8
"UC San Diego Health System",8
"Uniformed Services University of the Health Sciences",8
"University of North Carolina at Charlotte",8
"University of Rhode Island",8
"University of Tampa",8
"Utah Department of Health",8
"VA Palo Alto Health Care System",8
"Virginia Cooperative Extension",8
"Woods Hole Oceanographic Institution",8
"AdventHealth Orlando",7
"Allegheny Health Network",7
"Austin College",7
"Baylor Scott & White Medical Center - Temple",7
"Baystate Medical Center",7
"Boise State University",7
"California Southern University",7
"California State University, Sacramento",7
"Carleton College",7
"Catholic University of America",7
"Colby College",7
"Community Medical Center",7
"Dermatology Research Center",7
"East Asian Observatory",7
"East Tennessee State University",7
"Feinstein Institute for Medical Research",7
"Geriatric Research Education and Clinical Center",7
"Goddard Institute for Space Studies",7
"Hennepin County Medical Center",7
"ID Genomics (United States)",7
"Illinois Institute of Technology",7
"Indiana University Indianapolis",7
"International Neuromodulation Society",7
"Lou Ruvo Brain Institute",7
"MetroHealth Medical Center",7
"NOAA National Centers for Environmental Information",7
"National Bureau of Economic Research",7
"National Institute for Occupational Safety and Health",7
"New Mexico Cancer Center",7
"Ochsner Medical Center",7
"Pain Management Institute",7
"Regenstrief Institute",7
"Rensselaer Polytechnic Institute",7
"Sidney Kimmel Comprehensive Cancer Center",7
"Smith College",7
"Tallahassee Memorial HealthCare",7
"The Nature Conservancy",7
"The Ohio State University Comprehensive Cancer Center – Arthur G. James Cancer Hospital and Richard J. Solove Research Institute",7
"UCLA Health",7
"United States Naval Research Laboratory",7
"University Corporation for Atmospheric Research",7
"University of Illinois System",7
"University of Miami Health System",7
"University of Missouri–St. Louis",7
"University of Pennsylvania Health System",7
"VA Salt Lake City Healthcare System",7
"W.M. Keck Observatory",7
"Yale Cancer Center",7
"ARUP Laboratories (United States)",6
"Agricultural & Applied Economics Association",6
"American Institute of Aeronautics and Astronautics",6
"Appalachian State University",6
"Berkeley College",6
"Boston Children's Museum",6
"California State University, San Marcos",6
"Cleveland State University",6
"Cognitive Engineering Research Institute",6
"Curry College",6
"Dermatology Specialists",6
"Earth System Science Interdisciplinary Center",6
"Earth and Space Research",6
"Embry–Riddle Aeronautical University",6
"Environmental Education Exchange",6
"Evolutionary Genomics (United States)",6
"Field Museum of Natural History",6
"Fox Chase Cancer Center",6
"Georgetown University Medical Center",6
"Hartford Hospital",6
"Health Net",6
"Heart Hospital Baylor Plano",6
"Houston Museum of Natural Science",6
"HudsonAlpha Institute for Biotechnology",6
"Hunter College",6
"Imaging Center",6
"Institute of Arctic and Alpine Research",6
"Jacobs (United States)",6
"Jean Mayer Human Nutrition Research Center on Aging",6
"John Brown University",6
"Johnson & Johnson (United States)",6
"Joint Institute for Nuclear Astrophysics",6
"LIGO Scientific Collaboration",6
"La Jolla Institute for Immunology",6
"Loma Linda University Medical Center",6
"Louisiana State University Health Sciences Center Shreveport",6
"Lowell Observatory",6
"Maricopa Community Colleges - Glendale Community College",6
"Marshall B. Ketchum University",6
"Marshall Space Flight Center",6
"McKnight Brain Research Foundation",6
"MedStar Georgetown University Hospital",6
"Miami Children's Hospital",6
"Minneapolis Heart Institute Foundation",6
"Minnesota Department of Natural Resources",6
"Mount Sinai Health System",6
"National Heart Lung and Blood Institute",6
"Northeast Health",6
"Oak Ridge Associated Universities",6
"Patient Advocate Foundation",6
"Pomona College",6
"Reckitt Benckiser (United States)",6
"Rocky Mountain Research Station",6
"SUNY College of Environmental Science and Forestry",6
"Seton Hall University",6
"State University of New York",6
"Stony Brook School",6
"The University of Kansas Cancer Center",6
"The University of Texas Rio Grande Valley",6
"U.S. Army Engineer Research and Development Center",6
"UC Irvine Health",6
"USC Norris Comprehensive Cancer Center",6
"Universities Space Research Association",6
"University of America",6
"University of Maine",6
"University of Massachusetts Dartmouth",6
"University of Washington Applied Physics Laboratory",6
"University of Washington Medical Center",6
"VA New England Healthcare System",6
"Washington State University Spokane",6
"Wyoming Department of Education",6
"AbbVie (United States)",5
"American Heart Association",5
"American Society of Clinical Oncology",5
"Archaeology Southwest",5
"Arizona State Museum",5
"Arkansas Children's Hospital",5
"Atlantic Health System",5
"Augustana University",5
"Baylor University Medical Center",5
"Baystate Health",5
"Birmingham VA Medical Center",5
"Bridgeport Hospital",5
"Bryan College",5
"Buck Institute for Research on Aging",5
"California Polytechnic State University",5
"California State University Los Angeles",5
"Carle Foundation Hospital",5
"Center for Cancer and Blood Disorders",5
"Center for Occupational Research and Development",5
"Chandler–Gilbert Community College",5
"Children's Hospital of Wisconsin",5
"Children's Mercy Hospital",5
"Christiana Care Health System",5
"City University of Seattle",5
"Cleveland Foundation",5
"Conservation International",5
"Cooper Medical School of Rowan University",5
"Dakota State University",5
"Durham VA Medical Center",5
"Earth Island Institute",5
"Eli Lilly (United States)",5
"Exponent (United States)",5
"Florida Institute of Technology",5
"Geneva College",5
"Grassland, Soil and Water Research Laboratory",5
"Harm Reduction Services",5
"Health Outcomes Solutions (United States)",5
"Heliophysics",5
"Hoag Memorial Hospital Presbyterian",5
"Hospital for Special Surgery",5
"Howard Hughes Medical Institute",5
"Indiana Cancer Consortium",5
"Inova Fairfax Hospital",5
"Institute for Advanced Study",5
"Institute for Health Metrics and Evaluation",5
"Lafayette College",5
"Lone Star College Kingwood",5
"Los Angeles Medical Center",5
"Louisiana State University in Shreveport",5
"Loyola University Medical Center",5
"Lucile Packard Children's Hospital",5
"MUSC Hollings Cancer Center",5
"Marshall University",5
"Michigan Department of Natural Resources",5
"Michigan Technological University",5
"Missouri University of Science and Technology",5
"Mitre (United States)",5
"NOAA Chemical Sciences Laboratory",5
"National Institute on Aging",5
"Natural History Museum of Utah",5
"Neurocrine Biosciences (United States)",5
"New York Hospital Queens",5
"New York State Department of Health",5
"Norton Community Hospital",5
"Pacific Northwest Research Station",5
"RAND Corporation",5
"RTX (United States)",5
"Regeneron (United States)",5
"Regional Health",5
"Research Corporation Technologies (United States)",5
"Research Network (United States)",5
"Riley Hospital for Children",5
"Saint Luke's Hospital",5
"San Francisco State University",5
"San Francisco VA Health Care System",5
"Santa Clara University",5
"Simons Foundation",5
"Smithsonian Conservation Biology Institute",5
"South Dakota School of Mines and Technology",5
"South Texas Veterans Health Care System",5
"St. Joseph Medical Center",5
"Statistical Research (United States)",5
"Stevens Institute of Technology",5
"Texas A&M Health Science Center",5
"Texas Center for Infectious Disease",5
"Texas Christian University",5
"Texas Oncology",5
"Texas Southern University",5
"The Chicago School",5
"Trinity Health Oakland Hospital",5
"UCSF Helen Diller Family Comprehensive Cancer Center",5
"United States Air Force Research Laboratory",5
"United Therapeutics (United States)",5
"University Health System",5
"University Medical Center",5
"University of Colorado Colorado Springs",5
"University of Indianapolis",5
"University of New Hampshire at Manchester",5
"University of North Florida",5
"University of Utah Health Care",5
"University of Utah Hospital",5
"Urbana University",5
"VA Puget Sound Health Care System",5
"Valley Medical Center",5
"Virginia Cancer Specialists",5
"Wellesley College",5
"Wesleyan University",5
"William & Mary",5
"Wisconsin Division of Public Health",5
"Yale New Haven Health System",5
"York University",5
"4D Technology (United States)",4
"Action Network",4
"Advisory Board Company (United States)",4
"Agricultural Research Service - Plains Area",4
"Allegheny General Hospital",4
"Allen Institute for Brain Science",4
"American Association of Colleges of Pharmacy",4
"Amgen (United States)",4
"Arizona Game and Fish Department",4
"Ashland (United States)",4
"Athinoula A. Martinos Center for Biomedical Imaging",4
"Baylor Medical Center at Garland",4
"Biomedical Research Institute",4
"Blue Marble Space",4
"Blue Marble Space Institute of Science",4
"Brooklyn College",4
"Butler University",4
"C. S. Mott Children's Hospital",4
"California Academy of Sciences",4
"California State Polytechnic University",4
"California State University, Northridge",4
"Cancer Research And Biostatistics",4
"Carilion Clinic",4
"Carl Hayden Bee Research Center",4
"Carolinas Medical Center",4
"Center for Assessment",4
"Center for the Study of Healthcare Provider Behavior",4
"Central Michigan University",4
"Chapman University",4
"Children's Hospital of Pittsburgh",4
"Children's Hospital of Richmond at VCU",4
"Cleveland Shoulder Institute",4
"Coherent (United States)",4
"Collaborations Pharmaceuticals (United States)",4
"Courant Institute of Mathematical Sciences",4
"DEVCOM Army Research Laboratory",4
"Donald & Barbara Zucker School of Medicine at Hofstra/Northwell",4
"Duke University Health System",4
"Education Northwest",4
"Environmental Molecular Sciences Laboratory",4
"Eunice Kennedy Shriver National Institute of Child Health and Human Development",4
"Fielding Graduate University",4
"Florida A&M University - Florida State University College of Engineering",4
"Fordham University",4
"Frederick National Laboratory for Cancer Research",4
"Griffin Hospital",4
"Hackensack Meridian Health",4
"Harvard Global Health Institute",4
"Harvey Mudd College",4
"Hawaii Pacific University",4
"HealthONE",4
"HealthPartners",4
"Heidelberg University",4
"Henry M. Jackson Foundation",4
"Hormel (United States)",4
"Hurley Medical Center",4
"Illinois State University",4
"Infrared Laboratories (United States)",4
"Institute for Neurodegenerative Disorders",4
"Institute for Systems Biology",4
"Institute on Aging",4
"Jaeb Center for Health Research",4
"James Madison University",4
"Katonah Museum of Art",4
"King University",4
"Lahey Medical Center",4
"Lancaster General Hospital",4
"Large Synoptic Survey Telescope Corporation",4
"Laureate Institute for Brain Research",4
"Levine Children's Hospital",4
"Lincoln Memorial University",4
"Living Systems (United States)",4
"MaineHealth",4
"Maricopa County Department of Public Health",4
"Mass General Brigham",4
"Mayo Clinic Health System",4
"Microsoft (United States)",4
"Monroe Carell Jr. Children's Hospital",4
"Morristown Medical Center",4
"Museum of Vertebrate Zoology",4
"NOAA National Centers for Environmental Prediction",4
"NSF NCAR Climate and Global Dynamics Laboratory",4
"Naples Anesthesia & Physician Associates",4
"National Eye Institute",4
"NationsUniversity",4
"New Mexico Department of Health",4
"New Mexico Institute of Mining and Technology",4
"North Carolina Agricultural and Technical State University",4
"North Dakota State University",4
"NorthShore University HealthSystem",4
"Northeast Radio Observatory Corporation",4
"Novant Health",4
"ORCID",4
"Ochsner Health System",4
"Office of Diversity and Inclusion",4
"Oracle (United States)",4
"Oregon Department of Fish and Wildlife",4
"Orlando Health",4
"Pacific Southwest Research Station",4
"Palo Alto Institute",4
"Pancreatic Cancer Action Network",4
"Pediatrics and Genetics",4
"Philadelphia VA Medical Center",4
"Princeton Plasma Physics Laboratory",4
"Pulmonary Associates",4
"Rainbow Babies & Children's Hospital",4
"Ronald Reagan UCLA Medical Center",4
"Rutgers New Jersey Medical School",4
"Saint Louis University Hospital",4
"San Francisco General Hospital",4
"San Francisco VA Medical Center",4
"Scottsdale Research Institute (United States)",4
"SleepMed",4
"Southern Illinois University Carbondale",4
"Spaulding Rehabilitation Hospital",4
"Spinal Diagnostics and Treatment Center",4
"St. Joseph's Hospital",4
"Stanford Health Care",4
"State Library of Ohio",4
"State Street (United States)",4
"Texas A&M University – Kingsville",4
"Texas A&M University – San Antonio",4
"The Barbara Ann Karmanos Cancer Institute",4
"The Spine & Nerve Centers of the Virginias",4
"Tucson Orthopaedic Institute",4
"United States Army",4
"United States Army Combat Capabilities Development Command",4
"United States Department of Agriculture",4
"United States Naval Observatory",4
"University Memory and Aging Center",4
"University at Albany, State University of New York",4
"University of Iowa Health Care",4
"University of Maryland Center for Environmental Science",4
"University of North Carolina Health Care",4
"University of North Texas Health Science Center",4
"University of South Alabama",4
"University of Southern Mississippi",4
"University of Tennessee at Chattanooga",4
"University of Wisconsin–Green Bay",4
"Urology San Antonio",4
"VA Ann Arbor Healthcare System",4
"WellSpan Health",4
"Wildlife Conservation Society",4
"Willis-Knighton Cancer Center",4
"Wright State University",4
"Abbott (United States)",3
"Adler Planetarium",3
"Alabama Agricultural and Mechanical University",3
"Allegheny College",3
"AltaMed",3
"Alzheimer’s Disease Neuroimaging Initiative",3
"American Association of Neurological Surgeons",3
"American Board of Emergency Medicine",3
"Arizona Sonora Desert Museum",3
"Ascension",3
"Association of Universities for Research in Astronomy",3
"AstraZeneca (United States)",3
"Atrium Medical Cente",3
"Baker Engineering (United States)",3
"Barnard College",3
"Baylor School",3
"Behavioral Pharma (United States)",3
"Behavioral Tech Research, Inc.",3
"Bellevue Hospital Center",3
"Boston Scientific (United States)",3
"Bowling Green State University",3
"Buffalo State University",3
"Bureau of Land Management",3
"C4 Imaging (United States)",3
"CUNY School of Law",3
"Cal Poly Humboldt",3
"California Pacific Medical Center",3
"California State University, Chico",3
"California State University, East Bay",3
"California State University, Monterey Bay",3
"Cancer Prevention Pharmaceuticals (United States)",3
"Canine Companions for Independence",3
"Carnegie Department of Plant Biology",3
"Center for Food Safety and Applied Nutrition",3
"Center for Integrated Nanotechnologies",3
"Center for Theoretical Biological Physics",3
"Chan Zuckerberg Initiative (United States)",3
"Claremont Graduate University",3
"Cleveland Clinic Florida",3
"Colorado College",3
"Colorado State University Pueblo",3
"Community Health Center",3
"Concordia University",3
"Connecticut Children's Medical Center",3
"Cook County Health and Hospitals System",3
"Cooperative Institute for Climate and Satellites",3
"Cornell Cooperative Extension Association of Jefferson County",3
"Cornerstone University",3
"Cystic Fibrosis Foundation",3
"Cytokinetics (United States)",3
"Dana-Farber/Boston Children's Cancer and Blood Disorders Center",3
"Defense Health Agency",3
"Dell Children's Medical Center of Central Texas",3
"Denver Public Health",3
"Department of Public Health",3
"Des Moines University",3
"Detroit Medical Center",3
"Diablo Valley College",3
"Discovery Institute",3
"Donald Danforth Plant Science Center",3
"Duke Institute for Health Innovation",3
"Edward T. Schafer Agricultural Research Center",3
"Emory Healthcare",3
"Empowerment Program",3
"Epidemic Intelligence Service",3
"Fairfield University",3
"Flagstaff Medical Center",3
"Florida Fish and Wildlife Conservation Commission",3
"Geisinger Health System",3
"Georgia Southern University",3
"Global Brain Health Institute",3
"Good Samaritan Hospital",3
"Grand Canyon University",3
"Hackensack University Medical Center",3
"Hampton University",3
"Harvard Pilgrim Health Care",3
"Helen DeVos Children's Hospital",3
"Hobart and William Smith Colleges",3
"Hofstra University",3
"IQVIA (United States)",3
"Illinois Archaeological Survey",3
"Indo-American Center",3
"Inland Northwest Health Services",3
"Integrative Medicine Institute",3
"International Spine, Pain & Performance",3
"Io Therapeutics (United States)",3
"Jefferson Hospital",3
"Jefferson University Hospitals",3
"John H. Stroger, Jr. Hospital of Cook County",3
"Joint Space Science Institute",3
"Joslin Diabetes Center",3
"Juniata College",3
"Kaiser Permanente Redwood City Medical Center",3
"Kaiser Permanente Washington Health Research Institute",3
"Kern Medical Center",3
"Kettering University",3
"La Jolla Bioengineering Institute",3
"Lahey Hospital and Medical Center",3
"Lawrence Technological University",3
"Los Angeles County Department of Public Health",3
